City,Region,tif_count,Latitude,Longitude,Brightness
Aalborg,EUROPE,161.0001288,57.04032091,9.92924431,1.033646175
Aarhus,EUROPE,273.0002184,56.16968864,10.1760989,0.92942765
Aba,AFRICA,327.0002616,5.088379203,7.334607547,0.261535858
Abadan,ASIA,60.00004799,30.34569444,48.27458334,8.575947554
Abaetetuba,SOUTH AMERICA,12.0000096,-1.718750002,-48.88125,1.06625527
Abai,SOUTH AMERICA,4.000003202,-26.0375,-55.94583333,0.133291758
Abakan,ASIA,93.0000744,53.72213261,91.43396058,2.012872711
Abancay,SOUTH AMERICA,14.0000112,-13.63035714,-72.88928571,0.082268994
Abau,MELANESIA,1.0000008,-10.04166667,148.5583333,0
Abaza,ASIA,19.0000152,52.65263158,90.09035088,0.161114542
Abbottabad,ASIA,759.5496721,34.0718753,73.08325172,0.149524184
Abeche,AFRICA,14.0000112,13.83869047,20.82916667,0.06276415
Abengourou,AFRICA,48.0000384,6.737499998,-3.494444441,0.193210851
Abeokuta,AFRICA,288.0002304,7.125028934,3.329311346,0.115957527
Aberdeen1,NORTH AMERICA,39.0000312,45.46837607,-98.4809829,1.447928876
Aberdeen2,NORTH AMERICA,52.0000416,46.97836538,-123.8415064,0.797398368
Aberdeen3,EUROPE,163.0001304,57.15884458,-2.13936605,2.604948679
Abha,ASIA,44.00003519,18.22140151,42.50435606,3.675895855
Abidjan,AFRICA,557.0004456,5.378067024,-4.024012564,1.627864368
Abilene,NORTH AMERICA,138.0001104,32.43967391,-99.76521739,1.933138558
Abohar,ASIA,1250.600139,30.33159997,74.33190572,0.250217522
Abomey,AFRICA,1421.625821,6.871765505,1.891247426,0.014044155
Abong Mbang,AFRICA,2.0000016,3.991666665,13.17083334,0.010377655
Abra Pampa,SOUTH AMERICA,6.0000048,-22.71805556,-65.70138889,0.039789106
Abu Dhabi,ASIA,123.0000984,24.44850948,54.40650407,10.74147294
Abu Kamal,ASIA,93.0000744,34.50134408,40.9155018,0.139416993
Abuja,AFRICA,206.0001648,9.067354367,7.48021845,1.623463813
Acapulco,NORTH AMERICA,160.000128,16.88692708,-99.84317708,1.438388974
Acarau,SOUTH AMERICA,4.0000032,-2.877083335,-40.12291666,0.639386248
Acarigua,SOUTH AMERICA,82.0000656,9.569308941,-69.21199187,2.226026932
Acatlan,NORTH AMERICA,7.000005598,18.20595238,-98.0547619,0.157454545
Accra,AFRICA,747.0005976,5.645058008,-0.179774651,1.838232858
Achinsk,ASIA,102.0000816,56.26405229,90.47426471,2.305530717
Acu,SOUTH AMERICA,7.000005601,-5.575000002,-36.91428571,1.123655513
Ad Dakhla,AFRICA,17.0000136,23.70245098,-15.94313725,1.867216489
Ad Damman,ASIA,404.0003232,26.39366749,50.10796205,11.94725721
Ad Diwaniyah,ASIA,57.0000456,31.99327485,44.92207603,2.852734596
Ad Nabk,ASIA,21.0000168,34.03253968,36.72777778,0.240447387
Adana,ASIA,245.000196,37.0064966,35.32170068,3.755490863
Adapazari,ASIA,167.0001336,40.7500499,30.38877246,1.847261565
Addis Ababa,AFRICA,1399.001119,8.713908743,39.02709078,0.164385671
Adelaide,AUSTRALIA,946.0007568,-34.90715293,138.5908915,1.66743508
Aden,ASIA,42.0000336,12.80119047,45.01587302,2.0535548
Adi Ugri,AFRICA,302.9571801,14.8741555,38.81489163,0.002316384
Adigrat,AFRICA,40.00003201,14.26166666,39.47854167,0.026444438
Adiyaman,ASIA,135.000108,37.7604321,38.26777778,0.703708777
Ado Ekiti,AFRICA,1804.389906,7.711372087,5.114624009,0.026573987
Adrar,AFRICA,36.0000288,27.87060185,-0.293749997,1.235933785
Afyon,ASIA,84.00006721,38.76170635,30.55942461,0.967463345
Agadez,AFRICA,39.0000312,16.98760684,7.985470089,0.116807474
Agadir,AFRICA,165.000132,30.3970202,-9.554393936,2.926824837
Agana,MICRONESIA,70.00005599,13.48833333,144.7880952,1.402852558
Agartala,ASIA,5002.967518,24.05085034,91.18710996,0.139969846
Agboville,AFRICA,34.0000272,5.938725489,-4.211274507,0.200703449
Agen,EUROPE,80.000064,44.19947916,0.629062503,1.268342787
Agordat,AFRICA,10.000008,15.54833333,37.87666667,1.92E-06
Agra,ASIA,4265.959136,27.17591419,78.14190069,0.480136616
Agri,ASIA,38.00003041,39.72587719,43.03991228,0.403252207
Agrinio,EUROPE,46.0000368,38.62952898,21.39728261,0.710329049
Agua Prieta,NORTH AMERICA,55.000044,31.33636363,-109.5469697,0.856549694
Aguascalientes,NORTH AMERICA,181.0001448,21.90529466,-102.2987569,1.423938737
Ahar,ASIA,20.000016,38.48333333,47.06458334,0.379327805
Ahmadabad,ASIA,8259.257023,22.96249315,72.70438733,0.518201928
Ahmednagar,ASIA,150.00012,19.10783333,74.747,0.464303742
Ahwaz,ASIA,267.0002136,31.31382647,48.66719726,5.475275975
Aigua,SOUTH AMERICA,4.000003201,-34.19791667,-54.76666666,0.10118479
Aiken,NORTH AMERICA,91.00007281,33.54432234,-81.7253663,1.285381605
Aiquile,SOUTH AMERICA,4.000003201,-18.19375,-65.18333333,0.047188332
Aix-en-Provence,EUROPE,95.000076,43.53394737,5.41912281,2.063668028
Aizawl,ASIA,50.00003999,23.71,92.71316667,0.134691241
Ajaccio,EUROPE,62.0000496,41.94112903,8.747849466,1.220728711
Ajdabiya,AFRICA,22.00001761,30.76363636,20.22121212,4.328989406
Ajmer,ASIA,207.0001656,26.46654589,74.65873591,0.549416696
Aketi,AFRICA,17.0000136,2.739705881,23.77696079,0
Akhtubinsk,EUROPE,32.0000256,48.28151041,46.1640625,0.566198055
Akita,ASIA,151.0001208,39.73432671,140.094702,0.737850933
Akola,ASIA,215.000172,20.70515504,76.98755814,0.279620883
Akron,NORTH AMERICA,848.7092112,41.10650013,-81.49852509,2.437395386
Aksu,ASIA,80.000064,41.174375,80.265625,0.776541202
Aksum,AFRICA,27.0000216,14.11018518,38.74228395,0.02889033
Akureyi,NORTH AMERICA,29.0000232,65.68764368,-18.11264367,2.823861804
