City,Region,tif_count,Latitude,Longitude,Elevation
Aalborg,EUROPE,161,57.04032091,9.929244306,6.118811965
Aarhus,EUROPE,273,56.16968864,10.1760989,14.024
Aba,AFRICA,327,5.088379205,7.334607543,76.9263266
Abadan,ASIA,59.99999999,30.34569444,48.27458333,3.509
Abaetetuba,SOUTH AMERICA,12,-1.71875,-48.88125,19.204
Abai,SOUTH AMERICA,4.000000002,-26.0375,-55.94583333,237.94
Abakan,ASIA,93,53.72213262,91.43396057,353.622
Abancay,SOUTH AMERICA,14,-13.63035714,-72.88928571,3641.233
Abau,MELANESIA,1,-10.04166667,148.5583333,14.525
Abaza,ASIA,19,52.65263158,90.09035088,1035.208
Abbottabad,ASIA,759.5490645,34.07187504,73.08325765,1582.6627
Abeche,AFRICA,14,13.83869048,20.82916667,482.531
Abengourou,AFRICA,48,6.7375,-3.494444444,163.171
Abeokuta,AFRICA,288,7.125028935,3.329311343,170.2160083
Aberdeen1,NORTH AMERICA,39,45.46837607,-98.48098291,418.723
Aberdeen2,NORTH AMERICA,52,46.97836538,-123.8415064,188.9098941
Aberdeen3,EUROPE,163,57.15884458,-2.139366053,105.735
Abha,ASIA,43.99999999,18.22140152,42.50435606,1671.203
Abidjan,AFRICA,557,5.378067026,-4.024012567,50.63654847
Abilene,NORTH AMERICA,138,32.43967391,-99.76521739,518.907
Abohar,ASIA,1250.599139,30.33159998,74.33190505,193.4359555
Abomey,AFRICA,1421.624684,6.871765315,1.891243285,65.03368045
Abong Mbang,AFRICA,2,3.991666667,13.17083333,694.017
Abra Pampa,SOUTH AMERICA,6,-22.71805556,-65.70138889,3707.566
Abu Dhabi,ASIA,123,24.44850949,54.40650406,18.492
Abu Kamal,ASIA,93,34.50134409,40.91550179,292.187
Abuja,AFRICA,206,9.067354369,7.480218447,540.456766
Acapulco,NORTH AMERICA,160,16.88692708,-99.84317708,59.814
Acarau,SOUTH AMERICA,4,-2.877083333,-40.12291667,3.412
Acarigua,SOUTH AMERICA,82,9.569308943,-69.21199187,617.451
Acatlan,NORTH AMERICA,6.999999998,18.20595238,-98.0547619,1433.058
Accra,AFRICA,747,5.64505801,-0.179774654,61.58809103
Achinsk,ASIA,102,56.26405229,90.47426471,241.241
Acu,SOUTH AMERICA,7.000000001,-5.575,-36.91428571,112.686
Ad Dakhla,AFRICA,17,23.70245098,-15.94313725,130.388
Ad Damman,ASIA,404,26.39366749,50.10796205,6.67344555
Ad Diwaniyah,ASIA,57,31.99327485,44.92207602,63.51837722
Ad Nabk,ASIA,21,34.03253968,36.72777778,899.087
Adana,ASIA,245,37.0064966,35.32170068,478.0393684
Adapazari,ASIA,167,40.7500499,30.38877246,537.179
Addis Ababa,AFRICA,1399,8.713908744,39.02709078,2027.389828
Adelaide,AUSTRALIA,946,-34.90715292,138.5908915,113.6496744
Aden,ASIA,42,12.80119048,45.01587302,11.81984525
Adi Ugri,AFRICA,302.9569378,14.87415567,38.81488987,1558.551322
Adigrat,AFRICA,40.00000001,14.26166667,39.47854167,1733.47
Adiyaman,ASIA,135,37.7604321,38.26777778,699.121
Ado Ekiti,AFRICA,1804.388462,7.71137203,5.114628701,355.5956689
Adrar,AFRICA,36,27.87060185,-0.29375,231.035
Afyon,ASIA,84.00000001,38.76170635,30.5594246,1237.62
