City,Region,tif_count,Latitude,Longitude,Human Modification
Aalborg,EUROPE,115.0606642,57.04112848,9.928534111,0.802875672
Aarhus,EUROPE,193.8225243,56.17007273,10.17445689,0.797052026
Aba,AFRICA,233.694641,5.0891323,7.333842386,0.795686122
Abadan,ASIA,42.87975064,30.34630463,48.27389977,0.611489233
Abaetetuba,SOUTH AMERICA,8.575950128,-1.717619722,-48.882103,0.718389506
Abai,SOUTH AMERICA,2.858650044,-26.0367108,-55.94711693,0.371392091
Abakan,ASIA,66.46361349,53.72285333,91.43318188,0.810972274
Abancay,SOUTH AMERICA,10.00527515,-13.62938813,-72.89002817,0.549325899
Abau,MELANESIA,0.714662511,-10.04145503,148.5577646,0.401035233
Abaza,ASIA,13.5785877,52.65364563,90.08967112,0.520223702
Abbottabad,ASIA,542.6963086,34.07262134,73.08255367,0.769117626
Abeche,AFRICA,10.00527515,13.83925133,20.82852109,0.628842156
Abengourou,AFRICA,34.30380051,6.73830337,-3.495262515,0.813753159
Abeokuta,AFRICA,205.8228031,7.125814473,3.328519666,0.77708105
Aberdeen1,NORTH AMERICA,27.87183792,45.46893335,-98.48174451,0.751834091
Aberdeen2,NORTH AMERICA,37.16245056,46.97896776,-123.8422392,0.698005078
Aberdeen3,EUROPE,116.1505491,57.15981942,-2.140270471,0.767897508
Abha,ASIA,31.44515046,18.22223744,42.50358032,0.563656315
Abidjan,AFRICA,388.796038,5.381101885,-4.02512775,0.850454321
Abilene,NORTH AMERICA,98.62342648,32.4403883,-99.76599617,0.708963918
Abohar,ASIA,893.7563206,30.33235534,74.33113031,0.757659401
Abomey,AFRICA,1015.617726,6.872619903,1.890511119,0.695055578
Abong Mbang,AFRICA,1.429325021,3.992987331,13.17040929,0.681136629
Abra Pampa,SOUTH AMERICA,4.287975064,-22.71747045,-65.7025715,0.460811297
Abu Dhabi,ASIA,87.90348882,24.44932877,54.40572696,0.757427807
Abu Kamal,ASIA,66.4636135,34.50210089,40.91464141,0.616083848
Abuja,AFRICA,147.2204772,9.068118014,7.479465644,0.786227283
Acapulco,NORTH AMERICA,114.3427928,16.88775592,-99.84392924,0.848337068
Acarau,SOUTH AMERICA,2.858650043,-2.87672051,-40.12360784,0.634999565
Acarigua,SOUTH AMERICA,58.60232588,9.570138206,-69.21274449,0.676555824
Acatlan,NORTH AMERICA,5.002637573,18.20662988,-98.05561444,0.636857321
Accra,AFRICA,532.5015469,5.64597998,-0.180702758,0.887400523
Achinsk,ASIA,72.89557609,56.26472161,90.47352611,0.676959843
Acu,SOUTH AMERICA,5.002637576,-5.574568131,-36.91502384,0.713713247
Ad Dakhla,AFRICA,11.23949572,23.70375796,-15.94449943,0.726730788
Ad Damman,ASIA,288.2551163,26.39460685,50.10705247,0.794535141
Ad Diwaniyah,ASIA,40.73576311,31.99401344,44.92125548,0.685348922
Ad Nabk,ASIA,15.00791273,34.03313793,36.72714982,0.635383477
Adana,ASIA,174.8727188,37.00717968,35.32096492,0.815131607
Adapazari,ASIA,119.3486393,40.75086592,30.38804238,0.820242792
Addis Ababa,AFRICA,999.8128524,8.714675328,39.02635081,0.683614041
Adelaide,AUSTRALIA,674.7484015,-34.90640623,138.5903531,0.849365352
Aden,ASIA,27.6018689,12.80150459,45.01500472,0.689121803
Adi Ugri,AFRICA,216.5119658,14.87495121,38.81414305,0.344851746
Adigrat,AFRICA,28.58650043,14.2625687,39.47795297,0.503472073
Adiyaman,ASIA,96.47943895,37.76119677,38.26702437,0.791798584
Ado Ekiti,AFRICA,1289.528789,7.712136978,5.11386073,0.58788666
Adrar,AFRICA,25.72785039,27.87133893,-0.294521846,0.59020239
Afyon,ASIA,60.0316509,38.76238585,30.55866523,0.769616172
Agadez,AFRICA,27.87183791,16.98836851,7.984746293,0.404508149
Agadir,AFRICA,117.0369353,30.39763327,-9.554673566,0.782090496
Agana,MICRONESIA,49.32600695,13.48912396,144.7874162,0.6912654
Agartala,ASIA,3560.82376,24.0517463,91.18719077,0.761319019
Agboville,AFRICA,24.29852537,5.939478644,-4.212057252,0.726247476
Agen,EUROPE,57.17300085,44.20018525,0.628234323,0.733637394
Agordat,AFRICA,7.146625108,15.54887695,37.87559426,0.396437745
Agra,ASIA,3048.718628,27.17668054,78.14113399,0.767077673
Agri,ASIA,27.15717541,39.7268495,43.03914147,0.764352651
Agrinio,EUROPE,32.87447549,38.63032783,21.39653293,0.761570938
Agua Prieta,NORTH AMERICA,39.30643809,31.33719736,-109.5478117,0.665502635
Aguascalientes,NORTH AMERICA,129.3539144,21.90601031,-102.2995043,0.852241278
Ahar,ASIA,14.29325021,38.48427776,47.06392829,0.756570721
Ahmadabad,ASIA,5902.576638,22.96325382,72.70362878,0.774985423
Ahmednagar,ASIA,107.1993766,19.10859508,74.74628526,0.720899133
Ahwaz,ASIA,190.8148903,31.3145746,48.66642141,0.738102281
Aigua,SOUTH AMERICA,2.858650043,-34.19732097,-54.76787887,0.616166031
Aiken,NORTH AMERICA,65.03428848,33.54511154,-81.72614078,0.611972804
Aiquile,SOUTH AMERICA,2.858650044,-18.19306992,-65.18404327,0.533369166
Aix-en-Provence,EUROPE,67.89293852,43.53470049,5.418354612,0.754611613
Aizawl,ASIA,35.73312553,23.71075271,92.71255369,0.535904762
Ajaccio,EUROPE,37.12821823,41.94719671,8.755022435,0.638187002
Ajdabiya,AFRICA,15.72257524,30.76432691,20.22054192,0.849480227
Ajmer,ASIA,147.9351397,26.46731244,74.65801777,0.728488578
Aketi,AFRICA,12.14926268,2.740477512,23.77635315,0.291115866
Akhtubinsk,EUROPE,22.86920034,48.28230553,46.16337273,0.540819589
Akita,ASIA,107.9140391,39.7350911,140.0939398,0.781219426
Akola,ASIA,153.6524398,20.70592289,76.98684997,0.772897183
Akron,NORTH AMERICA,606.5401705,41.10724593,-81.49927811,0.70814363
Aksu,ASIA,57.17300086,41.17513646,80.26477835,0.657770896
Aksum,AFRICA,19.29588779,14.11100165,38.7416165,0.585681021
Akureyi,NORTH AMERICA,20.72521281,65.68841016,-18.1133423,0.535670458
Al Ahmadi,ASIA,12.86392519,29.09559367,48.06474843,0.811205854
Al Amarah,ASIA,57.88766337,31.8512757,47.14745003,0.529402499
Al Ayn,ASIA,138.6445271,24.19697764,55.72419929,0.625304297
Al Bayda,AFRICA,0.714662511,32.75858589,21.62481956,0.599480747
Al Fallujah,ASIA,23.58386285,33.35513262,43.77735572,0.814424713
Al Fujayrah,ASIA,24.91861655,25.10568827,56.33898791,0.597341981
Al Hasakah,ASIA,34.30380051,36.50889714,40.74234314,0.754471437
