City,Region,tif_count,Latitude,Longitude,Crop Land,Grazing Land,Area
Aalborg,EUROPE,1.610001288,57.08075592,9.891299182,0.072798069,0.005953847,254.635889
Aarhus,EUROPE,2.730002184,56.20908295,10.13917939,0.092358451,0.000835188,421.9368836
Aba,AFRICA,3.270002616,5.127928686,7.295603674,0.306916488,0.330922291,282.5141657
Abadan,ASIA,0.60000048,30.37920676,48.23753045,0.089584791,0.058624378,59.82814182
Abaetetuba,SOUTH AMERICA,0.120000096,-1.666702,-48.9167191,0.102732971,0,10.33136162
Abai,SOUTH AMERICA,0.040000032,-26.0000256,-56.0000496,0.290921052,0.416823192,3.831192013
Abakan,ASIA,0.930000744,53.74999196,91.39607722,0.006032686,0.051957915,135.2436964
Abancay,SOUTH AMERICA,0.140000112,-13.5833639,-72.9167095,0,0,12.39716918
Abau,MELANESIA,0.010000008,-10.000032,148.4998686,0.02079964,0.007854532,0.873956613
Abaza,ASIA,0.190000152,52.66663964,90.05269414,0.007065728,0.029705947,26.94988638
Abbottabad,ASIA,7.595496721,34.10591068,73.04524184,0.513367811,0.003162841,789.0584068
Abeche,AFRICA,0.140000112,13.8810295,20.7858635,0.082810974,0.746831705,12.40775034
Abengourou,AFRICA,0.480000384,6.763874371,-3.536411252,0.523156755,0.271336963,41.59365297
Abeokuta,AFRICA,2.880002304,7.164924069,3.293121596,0.324169481,0.387924102,249.7672128
Aberdeen1,NORTH AMERICA,0.390000312,45.4999458,-98.51069128,0.265318816,0.090957018,47.85274703
Aberdeen2,NORTH AMERICA,0.520000416,46.99997682,-123.8734069,0.000457309,0.017631752,65.58285941
Aberdeen3,EUROPE,1.489233195,57.20134476,-2.190742053,0.055461867,0.0489936,258.6246378
Abha,ASIA,0.440000352,18.24997638,42.47162328,0.239941783,0.278471772,39.86252173
Abidjan,AFRICA,5.570004456,5.417866482,-4.061336326,0.152468044,0.091117645,481.4470103
Abilene,NORTH AMERICA,1.380001104,32.48007315,-99.80494191,0.113549901,0.291544967,140.7080279
Abohar,ASIA,12.50600139,30.37000422,74.29492865,0.587859934,0.01151947,1246.845761
Abomey,AFRICA,14.21625821,6.908971733,1.854716631,0.539822772,0.275037972,1232.23475
Abong Mbang,AFRICA,0.020000016,3.9999624,13.1665894,0.152484268,0.087539969,1.725291653
Abra Pampa,SOUTH AMERICA,0.060000048,-22.6666936,-65.7500457,0.062558051,0.007962669,5.597799985
Abu Dhabi,ASIA,1.140060992,24.4831904,54.37497809,0.000501477,3.38E-05,116.2706766
Abu Kamal,ASIA,0.930000744,34.53943026,40.87370059,0.384870163,0.191614727,97.10792902
Abuja,AFRICA,2.060001648,9.105577511,7.439748244,0.374220186,0.18292781,179.5161284
Acapulco,NORTH AMERICA,1.60000128,16.92655982,-99.87708332,0.161885451,0.176461779,143.8907836
Acarau,SOUTH AMERICA,0.040000032,-2.8333682,-40.1667226,0.156068559,0.148931028,3.446587283
Acarigua,SOUTH AMERICA,0.820000656,9.607722596,-69.24901182,0.111675112,0.198477517,71.5606142
Acatlan,NORTH AMERICA,0.070000056,18.2499567,-98.0833661,0.13823412,0.511205017,6.341202153
Accra,AFRICA,7.470005976,5.680833053,-0.216415155,0.145376807,0.154617729,645.9649151
Achinsk,ASIA,1.020000816,56.29576767,90.4395722,0.047324617,0.026760792,158.0351077
Acu,SOUTH AMERICA,0.070000056,-5.523746838,-36.9285469,0.142389698,0.245277204,6.052575205
Ad Dakhla,AFRICA,0.00031504,23.7499545,-15.9167323,0,0,15.97672232
Ad Damman,ASIA,4.040003232,26.43028236,50.07218243,0.047718127,0.140430284,388.1094487
Ad Diwaniyah,ASIA,0.570000456,32.02342862,44.88450767,0.32045119,0.080909207,57.83393692
Ad Nabk,ASIA,0.210000168,34.0832837,36.67464036,0.03696473,0.512536277,21.80570677
Adana,ASIA,2.45000196,37.04151006,35.28468511,0.118464295,0.026002768,264.0041884
Adapazari,ASIA,1.670001336,40.78791567,30.35427279,0.218621183,0.008392289,189.692401
Addis Ababa,AFRICA,13.99001119,8.750356013,38.98820281,0.470666469,0.138281102,1217.979509
Adelaide,AUSTRALIA,9.460007568,-34.87041759,138.5543522,0.026404392,0.011314387,992.7470957
Aden,ASIA,0.420000336,12.83927396,44.98015445,0.000822829,0.238307066,37.06405994
Adi Ugri,AFRICA,3.029571801,14.91167258,38.77451187,0.348895194,0.480005129,269.7464944
Adigrat,AFRICA,0.40000032,14.29998955,39.43331141,0.38253235,0.283041472,35.51625468
Adiyaman,ASIA,1.35000108,37.79813488,38.22963935,0.31284831,0.124640387,146.9415417
Ado Ekiti,AFRICA,18.04389906,7.749431813,5.078424512,0.422837004,0.354562486,1566.947233
Adrar,AFRICA,0.360000288,27.90971434,-0.3334052,0,0,35.04376427
Afyon,ASIA,0.840000672,38.80257689,30.52379551,0.269426564,0.098155822,92.69896301
Agadez,AFRICA,0.390000312,17.01709511,7.940230738,0,0,35.0921431
Agadir,AFRICA,1.65000132,30.43887865,-9.589395985,0.095387969,0.123439717,164.6138118
Agana,MICRONESIA,0,,,0,0,61.94663352
Agartala,ASIA,50.02967518,24.08841841,91.14961859,0.548650199,0.027143521,4714.530615
Agboville,AFRICA,0.340000272,5.985289576,-4.250049614,0.503848282,0.261800469,29.4166131
Agen,EUROPE,0.80000064,44.24373656,0.592672225,0.249824207,0.032845095,96.0219335
Agordat,AFRICA,0.10000008,15.5832911,37.8332462,0.0416096,0.633816999,8.932281478
Agra,ASIA,42.65959136,27.21342216,78.1045828,0.595161868,0.014452578,4126.531348
Agri,ASIA,0.380000304,39.7499481,42.99564223,0.233408735,0.036713334,42.51559809
Agrinio,EUROPE,0.460000368,38.66667113,21.3569086,0.045838529,0.065011999,50.67001499
Agua Prieta,NORTH AMERICA,0.55000044,31.37123417,-109.5833615,0.03954837,0.424565624,55.4115116
Aguascalientes,NORTH AMERICA,1.810001448,21.94336001,-102.3342457,0.181775898,0.128046566,167.8768225
Ahar,ASIA,0.20000016,38.5,47.01259086,0.232408907,0.206550761,21.98568537
Ahmadabad,ASIA,82.59257023,22.99959471,72.66739125,0.618067262,0.014247975,7719.296875
Ahmednagar,ASIA,1.5000012,19.14278649,74.71163951,0.487038318,0.000366461,136.6068798
Ahwaz,ASIA,2.670002136,31.35204592,48.62766083,0.199017115,0.005140424,268.9333986
Aigua,SOUTH AMERICA,0.040000032,-34.166689,-54.83325815,0.070413521,0.441994544,4.16200728
Aiken,NORTH AMERICA,0.910000728,33.57786543,-81.76373668,0.090448173,0.007591881,93.95425758
Aiquile,SOUTH AMERICA,0.040000032,-18.1666954,-65.24993107,0.181358672,0.616726057,3.623463601
Aix-en-Provence,EUROPE,0.95000076,43.57630172,5.385068214,0.092712302,0.019716732,112.7601959
Aizawl,ASIA,0.5000004,23.74502728,92.66660124,0.117262434,0.000177711,46.99308533
Ajaccio,EUROPE,0.460506928,41.9999472,8.72997641,0.012377827,0.044406634,71.7246613
