City,Region,tif_count_2000,tif_count_2021,Latitude,Longitude,2000 Population,2021 Population,Population Change
Aalborg,EUROPE,157,161,57.04017296,9.929481132,126259.9999,112055.9999,-14204
Aarhus,EUROPE,273,273,56.16968864,10.1760989,187375.9999,283000.9999,95624.99993
Aba,AFRICA,327,327,5.088379205,7.334607543,667082.9989,1140027,472944.0007
Abadan,ASIA,59.99999999,59.99999999,30.34569444,48.27458333,84013.99995,236823.9995,152809.9996
Abaetetuba,SOUTH AMERICA,12,12,-1.71875,-48.88125,11862.99999,87537.99993,75674.99994
Abai,SOUTH AMERICA,4.000000002,4.000000002,-26.0375,-55.94583333,47.00000002,3790.999993,3743.999993
Abakan,ASIA,93,93,53.72213262,91.43396057,164875,143054,-21821.00002
Abancay,SOUTH AMERICA,14,14,-13.63035714,-72.88928571,45140,48084.99998,2944.999987
Abau,MELANESIA,1,1,-10.04166667,148.5583333,461.9999957,279.9999974,-181.9999983
Abaza,ASIA,19,19,52.65263158,90.09035088,20417.99996,13428.99997,-6988.999987
Abbottabad,ASIA,759.5490645,759.5490645,34.07186539,73.08325142,714326.4185,1471902.634,757576.2157
Abeche,AFRICA,14,14,13.83869048,20.82916667,150562.9999,192872.9998,42309.99986
Abengourou,AFRICA,48,48,6.7375,-3.494444444,21076.99998,112795.9999,91718.99997
Abeokuta,AFRICA,288,288,7.125028935,3.329311343,443325.9999,521008.9996,77682.99974
Aberdeen1,NORTH AMERICA,39,39,45.46837607,-98.48098291,20789.99999,23705.99999,2916.000002
Aberdeen2,NORTH AMERICA,48.99999997,52,46.97854785,-123.8412541,24470.99997,28255.99997,3784.999999
Aberdeen3,EUROPE,163,163,57.15884458,-2.139366053,200299.9999,211511.9999,11212.00002
Abha,ASIA,43.99999999,43.99999999,18.22140152,42.50435606,187285,138213.9999,-49071.00003
Abidjan,AFRICA,557,557,5.378067026,-4.024012567,2876945,5485329.999,2608385
Abilene,NORTH AMERICA,138,138,32.43967391,-99.76521739,95567.99997,106649.9999,11081.99997
Abohar,ASIA,1250.599139,1250.599139,30.33160458,74.33190576,1080577.162,986071.1938,-94505.96855
Abomey,AFRICA,1421.624684,1421.624684,6.871754027,1.891247567,631287.679,1206915.358,575627.6791
Abong Mbang,AFRICA,2,2,3.991666667,13.17083333,226.9999995,8967.999977,8740.999977
Abra Pampa,SOUTH AMERICA,6,6,-22.71805556,-65.70138889,820.9999978,8110.999986,7289.999988
Abu Dhabi,ASIA,122,123,24.44843537,54.40687075,398728.9997,747467.9994,348738.9998
Abu Kamal,ASIA,93,93,34.50134409,40.91550179,47755.99992,123160.9997,75404.99979
Abuja,AFRICA,206,206,9.067354369,7.480218447,174644.9999,889654.9999,715010
Acapulco,NORTH AMERICA,160,160,16.88692708,-99.84317708,568939.0001,710957.9998,142018.9998
Acarau,SOUTH AMERICA,4,4,-2.877083333,-40.12291667,8653.999971,19902.99994,11248.99997
Acarigua,SOUTH AMERICA,82,82,9.569308943,-69.21199187,258613.9999,279703.9999,21089.99997
Acatlan,NORTH AMERICA,6.999999998,6.999999998,18.20595238,-98.0547619,13038.99997,12809.99996,-229.000005
Accra,AFRICA,746.9999999,746.9999999,5.64505801,-0.179774654,1934660.999,3779723.999,1845063
Achinsk,ASIA,102,102,56.26405229,90.47426471,128983.9999,99655.99988,-29328.00002
Acu,SOUTH AMERICA,7.000000001,7.000000001,-5.575,-36.91428571,59608.99987,31789.99998,-27818.99989
Ad Dakhla,AFRICA,15.99999998,16.99999998,23.70227273,-15.94368687,16194.99997,129758.9998,113563.9998
Ad Damman,ASIA,404,404,26.39366749,50.10796205,1455553.999,1680319.999,224766
Ad Diwaniyah,ASIA,57,57,31.99327485,44.92207602,299764.9997,322439.9996,22674.9999
Ad Nabk,ASIA,21,21,34.03253968,36.72777778,49569.99994,53972.99994,4403.000001
Adana,ASIA,245,245,37.0064966,35.32170068,1284928,1414457.999,129529.9996
Adapazari,ASIA,167,167,40.7500499,30.38877246,440959.9998,373739.9998,-67219.99998
Addis Ababa,AFRICA,1399,1399,8.713908744,39.02709078,3072146.999,6494035.997,3421888.998
Adelaide,AUSTRALIA,936.9999996,945.9999998,-34.90700124,138.5913879,1026809,1194513.999,167704.9998
Aden,ASIA,37.99999998,41.99999999,12.8015625,45.0171875,192666.9998,137953.9998,-54712.99996
Adi Ugri,AFRICA,302.9569378,302.9569378,14.87416568,38.81489171,91324.12965,281259.0992,189934.9695
Adigrat,AFRICA,40.00000001,40.00000001,14.26166667,39.47854167,27333.99992,140200.9998,112866.9999
Adiyaman,ASIA,135,135,37.7604321,38.26777778,171534.9999,187262,15727.00001
Ado Ekiti,AFRICA,1804.388462,1804.388462,7.711366021,5.114623884,1367186.292,2557547.876,1190361.584
Adrar,AFRICA,36,36,27.87060185,-0.29375,64731.99993,74146.99993,9414.999998
Afyon,ASIA,84.00000001,84.00000001,38.76170635,30.5594246,164274.9999,117021.9999,-47252.99999
Agadez,AFRICA,39,39,16.98760684,7.985470085,427.9999999,230670.9999,230242.9999
Agadir,AFRICA,164.9999999,165,30.3970202,-9.554393939,548921.9999,874045.9997,325123.9998
Agana,MICRONESIA,69.99999996,69.99999996,13.48833333,144.7880952,92488.99987,70947.99984,-21541.00003
Agartala,ASIA,5002.963516,5002.963516,24.0508473,91.18710931,4560517.808,7528845.515,2968327.707
Agboville,AFRICA,34,34,5.93872549,-4.21127451,18772.99993,58716.99988,39943.99996
Agen,EUROPE,80,80,44.19947917,0.6290625,60451.99996,41957.99996,-18494
Agordat,AFRICA,10,10,15.54833333,37.87666667,1266.999997,34889.99991,33622.99992
Agra,ASIA,4265.955724,4265.955724,27.17592647,78.14190074,5944411.638,7044143.357,1099731.719
Agri,ASIA,38.00000001,38.00000001,39.72587719,43.03991228,99892.99986,75921.99992,-23970.99994
Agrinio,EUROPE,46,46,38.62952899,21.39728261,87221.99989,58810.99992,-28410.99997
Agua Prieta,NORTH AMERICA,55,55,31.33636364,-109.5469697,54287.99998,99269.99997,44981.99999
Aguascalientes,NORTH AMERICA,181,181,21.90529466,-102.2987569,624474.9999,996403.9998,371928.9998
Ahar,ASIA,20,20,38.48333333,47.06458333,72488.99994,84672.9999,12183.99996
Ahmadabad,ASIA,8259.250416,8259.250416,22.96249302,72.70438733,10958732.23,16636510.39,5677778.16
Ahmednagar,ASIA,150,150,19.10783333,74.747,281376,427643.9999,146267.9999
Ahwaz,ASIA,267,267,31.31382647,48.66719725,931604.9995,1333148.999,401543.9997
Aigua,SOUTH AMERICA,4.000000001,4.000000001,-34.19791667,-54.76666667,157.9999995,2601.999997,2443.999997
Aiken,NORTH AMERICA,91.00000001,91.00000001,33.54432234,-81.7253663,35167.99997,45873.99996,10705.99999
Aiquile,SOUTH AMERICA,4.000000001,4.000000001,-18.19375,-65.18333333,490.9999994,3503.99999,3012.999991
Aix-en-Provence,EUROPE,95,95,43.53394737,5.419122807,149064,135037.9999,-14026.00003
Aizawl,ASIA,49.99999999,49.99999999,23.71,92.71316667,215228.9996,237884.9996,22655.99994
