City,Region,tif_count,Latitude,Longitude,bio_1.tif,bio_10.tif,bio_11.tif,bio_12.tif,bio_13.tif,bio_14.tif,bio_15.tif,bio_16.tif,bio_17.tif,bio_18.tif,bio_19.tif,bio_2.tif,bio_3.tif,bio_4.tif,bio_5.tif,bio_6.tif,bio_7.tif,bio_8.tif,bio_9.tif
Aalborg,EUROPE,1.610000013,57.08077046,9.891294807,83.8464863,158.3804412,5.853217266,655.0840609,73.15559108,30.50310333,23.84502999,207.9031887,108.6675822,186.325423,136.9021503,47.36094793,20.42638877,6275.927601,194.8692533,-33.11985647,228.4169549,132.8532173,35.37412758
Aarhus,EUROPE,2.730000022,56.20906427,10.13916703,81.64518419,157.2821156,2.282175832,625.1031137,65.62008273,31.33674537,21.16141605,189.8404607,109.2870534,178.0322059,133.6995527,50.51208291,21.1356521,6385.651117,196.6743635,-37.61128903,234.7246001,134.2595569,32.64518419
Aba,AFRICA,3.270000026,5.127923442,7.295592377,248.2068252,261.7462781,235.1060097,2193.01088,343.6409729,2.578994308,69.54531216,997.2089745,44.83899986,159.4684989,997.2089745,53.20433852,59.99378131,1078.557716,304.1429197,214.9328649,88.74425066,235.1060097,259.0084571
Abadan,ASIA,0.600000005,30.37928281,48.2375466,261.5291432,375.8485925,138.299166,157.9156245,36.40474844,0,95.78668771,92.36367209,0,0,92.36367209,126.1013742,32.99944547,9804.164544,458.1674872,80.59889591,377.5685866,148.5073204,375.8485925
Abaetetuba,SOUTH AMERICA,0.120000001,-1.666805909,-48.91680608,262,279,249,2454,404,49,64,1134,177,177,1134,64,65,1210,323,225,98,249,279
Abai,SOUTH AMERICA,0.04,-26.00013914,-56.00013938,213,259,166,1545,175,76,22,458,276,381,276,87,43,3897,315,115,200,236,166
Abakan,ASIA,0.930000007,53.74998051,91.39608293,23.4915551,188.5578764,-141.1978812,318.3845044,71.00145172,2.999643116,93.04996624,193.0210671,13.13012028,193.0210671,15.1964416,97,21,13094.24044,254.9351183,-200.1978812,455.7561145,188.5578764,-115.1315599
Abancay,SOUTH AMERICA,0.140000001,-13.58347253,-72.91680598,112,126,94,465,102,0,101,293,2,135,13,82,60,1345,170,33,136,120,95
Abau,MELANESIA,0.01,-10.00013921,148.4998598,249,259,235,2340,245,121,19,719,430,524,599,44,61,989,284,211,73,250,251
Abaza,ASIA,0.190000001,52.66660061,90.05271261,10.89212342,163.8903618,-139.7421076,457.5734901,89.5152265,5.634230994,78.6333502,242.6394633,21.90445458,242.6394633,24.27198517,96.6333502,22,12056.98484,225.8903618,-198.7412268,425.2649388,163.8903618,-115.3754578
Abbottabad,ASIA,7.595490705,34.10590957,73.04524628,163.0471207,254.4068871,62.34204196,1271.081613,260.4327777,29.18615371,69.37246381,607.7284169,117.2344721,584.3375483,219.7365362,118.3019042,35.86982067,8074.877331,315.3747882,-10.11534249,325.5337823,250.5393217,121.8988297
Abeche,AFRICA,0.140000001,13.88121109,20.78597371,276.4940299,298.709483,247.2058875,426.221803,199.5913534,0,174.5035955,392.4540927,0,28.05585271,0,122.2154531,58.42379529,2138.161062,366.2856877,157.9904344,207.9440672,278.4940299,256.9904344
Abengourou,AFRICA,0.480000004,6.76383666,-3.53636527,254.4347081,269.6024193,238.4347081,1253.874805,199.4476002,1,61,532.7417053,43.59063793,314.0388897,333.0990302,67.16771124,60.8757046,1236.838637,319.6458352,208.9565842,110.3354225,256.4347081,262.4781239
Abeokuta,AFRICA,2.880000023,7.164907343,3.29312894,257.0507887,271.9510246,240.6316389,1240.579546,210.4079671,0.00682838,72.195261,550.3067117,21.65370429,214.833036,484.9765644,65.87679771,58.8047431,1261.409724,322.2135883,210.9791411,110.9842731,248.165723,266.165723
Aberdeen1,NORTH AMERICA,0.390000003,45.49986057,-98.51071589,67,212,-88.87307993,527.1269201,87.12692007,12.87307993,58,234.2538401,42.87307993,216.2538401,42.87307993,98,22,12276.84236,285,-149,435,185,-88.87307993
Aberdeen2,NORTH AMERICA,0.520000004,46.99994101,-123.8734563,108.9980693,164.5182632,65.95703806,2077.92888,328.3425646,35.00193066,60.52373341,941.6584124,153.9654043,173.0096533,896.804518,66.08077545,37.52019386,4032.594126,220.0791666,43.43780953,175.6423224,67.95800339,158.518585
Aberdeen3,EUROPE,1.630000013,57.19831866,-2.181452589,86.3348845,139.6484883,36.65483049,769.3144302,84.64805479,47.44251498,15.78825641,231.5867935,155.1459595,193.6245926,174.173149,40.70110322,24.69692085,4219.111969,164.2328224,0.195217133,163.6880138,74.55115084,47.64848826
Abha,ASIA,0.440000003,18.24992401,42.47164174,166.228672,204.5521883,122.9051557,317.9552187,46.99696025,7,51.32237005,120.9594726,40.33519571,67.01246481,52.97613613,110.9860281,54,3361.799921,268.8760783,63.58202568,205.2940526,170.628259,128.905542
Abidjan,AFRICA,5.570000044,5.417874306,-4.061332244,253.942637,266.942637,238.7819568,1863.867761,541.7343102,21.57339994,90.87686785,998.876109,140.4783649,351.0087075,281.3952645,42.49334274,57.61856144,1110.389523,295.5698492,221.5120807,73.74109941,249.8761707,261.9301604
Abilene,NORTH AMERICA,1.380000011,32.48007448,-99.80490932,181.7049583,285.5328625,73.94251319,518.1946456,77.00145664,11.73515305,44.9902169,190.7915778,54.16389449,150.1915808,54.16389449,123.0574868,35,8585.345735,354.4675247,4.277420788,350.1388974,246.7050795,73.94251319
Abohar,ASIA,12.50599149,30.36999542,74.29492587,233.882477,313.6288189,126.0583995,348.5847404,102.1639734,0,123.8222798,265.7823837,5.92139645,219.6985301,25.39316291,134.3017725,37.97116079,7865.685148,387.6152469,36.87683783,350.4783059,306.1285763,188.6199078
Abomey,AFRICA,14.21624695,6.90897517,1.854712032,259.9170319,275.3535607,242.6388914,1043.81187,175.1028897,0.001441913,65.47651844,444.3356451,25.04216234,230.4017592,320.2030718,63.95948173,61.85083409,1311.662117,321.8733432,218.7555294,102.7112436,259.4736447,269.8533002
Abong Mbang,AFRICA,0.02,3.999860735,13.16652701,218,227,210,1543,279,22,62,635,84,293,365,67,67,672,273,174,99,215,223
Abra Pampa,SOUTH AMERICA,0.06,-22.66680582,-65.75013935,63,103,12,369,111,0,129,267,0,213,6,137,53,3821,179,-78,257,98,32
Abu Dhabi,ASIA,1.23000001,24.48783547,54.36922641,276.5196515,342.0567798,201.4318478,119.15042,32.14430225,0,95.73521604,57.14430225,3,57.14430225,37.10218508,81.91573315,34.57669713,5857.239002,392.9151861,158.8311654,233.8953988,342.0567798,326.7948522
Abu Kamal,ASIA,0.930000007,34.53943701,40.87372655,214.7860283,332.8293988,90.35448199,153.2847961,27.66168025,0,77.65699708,70.85961255,0,0,70.85961255,120.9566295,31,9992.452335,417.3584438,31.6974849,385.5297664,90.35448199,332.8293988
Abuja,AFRICA,2.060000016,9.105564944,7.439768302,243.588939,266.5295478,224.1290734,1389.366869,316.1314218,0,99.61940555,810.8787503,1.515861792,64.53436406,810.8787503,92.2736305,56.506154,1628.086433,330.0796338,167.2901415,162.3521146,224.1290734,248.602038
Acapulco,NORTH AMERICA,1.600000013,16.92655379,-99.87708333,261.4531023,267.6231062,252.4531023,1284.949069,331.428199,0.170003848,117.6808329,841.4382203,9.807609298,457.9834877,27.17614978,61.79847235,70.35041548,665.8788919,304.0486475,215.9656876,87.30869169,265.4966433,257.0996725
Acarau,SOUTH AMERICA,0.04,-2.833472571,-40.16680611,269,278,261,1194,318,2,114,789,8,37,781,55,72,688,313,236,76,262,275
Acarigua,SOUTH AMERICA,0.820000007,9.60772018,-69.2490721,250.7441069,263.4497933,237.0256136,1813.093042,328.8865363,10.97438635,72.31992725,859.7620636,49.28330455,164.0950411,847.0071911,58,60.29431361,1025.081938,310.4497933,213.7441069,96.01280682,241,259.4497933
Acatlan,NORTH AMERICA,0.070000001,18.24986068,-98.08347255,215,228,194,642,139,3,95,351,25,212,25,104,68,1462,290,138,152,225,194
Accra,AFRICA,7.47000006,5.680829415,-0.216409466,261.0811265,275.0930855,243.0760625,839.2025461,196.9847761,7.634597682,77.45493345,445.035191,41.07603958,204.3088663,159.1572724,42.15148549,54.22310015,1293.518318,302.7620366,225.0810122,77.15530073,263.7783601,270.8265068
Achinsk,ASIA,1.020000008,56.29578992,90.43958091,6.385282617,173.3478611,-152.5269761,421.4064471,73.18162643,11.14301281,61.24237996,202.2703225,38.15095841,202.2703225,44.54919392,82.44884726,18,13026.75665,244.9364354,-202.4585143,447.8063754,173.3478611,-127.6147174
Acu,SOUTH AMERICA,0.070000001,-5.523550961,-36.92851166,281.5785928,290.5785928,271,610.8895329,158.3712092,2,107,391.2708374,9.561873566,55.71239506,68.30425178,99.70234799,77,823.1071164,347,218.297652,127.9832888,278.8595336,282.2809328
Ad Dakhla,AFRICA,0.170000001,23.74986066,-15.9998112,217.0078802,249.0118203,191.0039401,22,6.996059902,0,80.9921198,10.0039401,0,10.0039401,9.996059902,74.02364059,51.0078802,2431.421591,293.0275807,149.9921198,143.0354609,236.0630416,210.0078802
Ad Damman,ASIA,4.040000033,26.43028605,50.07217603,264.9899318,345.601718,173.5376403,125.3753927,19.69186702,0,64.18431905,48.68212607,3.849548253,22.18225616,46.00276122,69.83535118,26.89420167,7164.817962,391.3372289,135.074932,255.8389035,188.5321233,329.3480417
Ad Diwaniyah,ASIA,0.570000005,32.02349696,44.88451028,248.4555512,371,117.4555512,129.4374977,26.283636,0,83.26081282,68.63862402,0,0,66.02282319,137.4555512,33,10464.72666,465.6158008,53.716364,411.7391872,134,370.8766137
Ad Nabk,ASIA,0.210000002,34.08319395,36.67466307,129,224.0976339,35.90236609,229.7840615,45.87870518,0,83.90236609,120.9526782,0,0,118.2455799,116.0976339,36,7692.446828,308.1952678,-12.29290173,321.3905356,51.24258964,224.0976339
Adana,ASIA,2.450000019,37.04153358,35.28467962,189.4500934,291.1230308,87.16579766,728.2463219,142.0857116,7.907147281,69.22975655,349.1520838,31.54908138,31.54908138,349.1520838,100.3904338,30,8280.402854,366.2718971,37.71333582,328.3411407,87.16579766,291.1230308
Adapazari,ASIA,1.670000013,40.78790161,30.35426046,143.5316785,234.2623199,56.06521301,781.8127176,99.27518594,43.31227876,27.05630102,270.6054018,136.2556058,149.6355259,253.6964969,78.16286271,28.19041862,7314.126119,289.1634086,14.13867166,274.7130587,74.06521301,230.7901676
Addis Ababa,AFRICA,13.99000011,8.75035252,38.98820097,164.0147057,176.5804637,153.1373437,963.2084741,213.7595758,5.487358987,88.16103989,549.9672276,29.42156077,182.1735608,30.86666568,103.4871353,64.75401122,980.3788548,245.4688643,86.08804714,159.1737174,160.8641307,153.1380465
Adelaide,AUSTRALIA,9.460000075,-34.87040843,138.5543522,152.1129251,196.7405991,106.7065834,585.3106123,83.72419385,18.21687648,48.20366775,236.2608156,59.97067041,65.30699087,235.1322931,67.84938494,41.77922178,3611.0598,240.8250092,78.91534028,161.3310531,110.9445301,192.5791417
Aden,ASIA,0.420000003,12.83924591,44.98015207,286.9273607,322.9999832,250.3091202,123.2364809,38.23649765,0,102.5456179,76.30910347,4,32.99998325,14.6182572,48.38172604,36.3817428,2982.763184,352.6908463,221.8547549,130.8360914,308.690863,301.9999832
Adi Ugri,AFRICA,3.029569402,14.91165558,38.77453031,176.4001791,194.3872213,153.7465876,700.8022431,199.0857123,6.135047628,111.4012773,452.4916992,24.67728461,163.2290112,24.67728461,115.5394176,66.29166893,1635.606966,263.7178782,90.18293552,173.0309478,184.2364478,153.7465876
Adigrat,AFRICA,0.400000003,14.29996517,39.43329839,135.8137996,157.2125458,109.0112879,682.7509875,165.2150865,8.798742099,87.01382861,360.2138369,30.19873795,232.2402445,30.19873795,108.7987421,60.7987421,2047.577227,228.0150575,49.81379957,178.2012579,154.8175691,109.0112879
Adiyaman,ASIA,1.350000011,37.79811201,38.22964516,149.1392499,272.8067861,28.89393625,599.1665682,113.4391683,0,77.88802616,293.2453983,5.081477795,5.081477795,293.2453983,117,29.26555226,9931.607019,368.9258016,-23.46273834,392.7949567,28.89393625,272.8067861
Ado Ekiti,AFRICA,18.04388477,7.749435489,5.078428455,237.3603923,254.989973,220.2565607,1348.194405,231.4693724,0.836488418,72.76390151,579.5783315,19.43929867,211.9677689,579.3103986,75.18182412,55.03576262,1367.983616,315.048572,178.7193649,135.96173,220.668298,246.2954754
Adrar,AFRICA,0.360000003,27.909699,-0.333472941,248.1638795,360.2458192,134.1638795,9,3,0,59.59030134,6,0,0,5,141,35,9230.573578,451.1638795,58.08193973,393.0819397,145.1638795,331.1638795
Afyon,ASIA,0.840000007,38.80257273,30.52378624,108.9156764,208.0587303,12.42718854,444.6107071,53.7463243,11.38609004,36.597282,148.29328,47.89518663,70.26364488,135.3515678,108,33,7942.156336,290.2831308,-36.71586535,327.3674544,99.80055497,204.4271885
Agadez,AFRICA,0.390000003,17.01709759,7.940281937,277.0944124,327.3012553,205.3012553,167.3930587,87.85976428,0,180.7149411,157.3930587,0,53.53331275,0,136.2068429,49,5016.22388,397.4828836,119.7059413,277.4919018,315.3012553,224.3012553
Agadir,AFRICA,1.650000013,30.43885933,-9.589398169,211.6155901,274.8544933,156.1928413,253.7595784,50.85500204,0,82.52144196,130.7706912,0.787982428,5.884443918,130.7706912,94.40135394,39.74616509,4732.112251,336.9799719,99.67413519,236.4159435,157.2775172,268.9949036
Agana,MICRONESIA,0.700000006,13.52738095,144.7488296,266.3801869,269.7232737,259.4942323,2317.31833,373.1337129,84.40589522,52.68783469,1025.276218,282.7480942,546.8560042,305.1883291,13,52.11356475,445.1751994,278.6094686,253.2789853,25,267.7232737,261.3801869
Agartala,ASIA,50.02963556,24.08842278,91.1496173,222.2584224,259.7800304,156.562794,2301.76199,476.1344773,12.8193668,85.00607557,1207.19811,51.98641334,973.9003609,51.98641334,86.65883855,35.19553165,4366.850213,318.0408413,75.1930078,242.6635255,251.6054631,156.562794
Agboville,AFRICA,0.340000003,5.985277732,-4.250098535,255.8240187,269.8240187,240.8240187,1414.295152,269.6532944,11.52548049,63.17499594,632.9076067,74.27691791,331.8533594,300.9788724,56.65000812,62,1120.897093,308.6495154,217.998522,90.47550486,258.8240187,262.8240187
Agen,EUROPE,0.800000006,44.24371514,0.592638528,131.7841518,202.7841518,60.74707011,761.5919434,83.73566996,47.90209166,14.86333683,216.260303,158.5631788,158.5631788,202.8962341,86.03666345,35,5828.45006,264.7841518,20.78436097,243.9375003,150.784361,202.7841518
Agordat,AFRICA,0.100000001,15.58319402,37.83319357,267,292,241,344,109,0,127,245,0,43,0,123,65,1975,361,172,189,265,241
Agra,ASIA,42.65955758,27.21342235,78.10458133,245.2540367,316.5179006,152.5871823,774.8553576,270.3097339,0,146.6348036,657.577076,18.09624668,259.975725,31.13587267,120.6675185,37.38957181,6694.804524,392.1222468,73.11489088,318.734747,294.3756044,263.7984161
Agri,ASIA,0.380000003,39.74986059,42.99565818,72.94560276,188.9973515,-45.00132424,519.9729704,73.89782674,12.05174875,44.94825125,201.8474022,46.20567077,46.20567077,125.3829877,106,27,9445.541427,272.9973515,-116.0026485,389,103.9456028,188.9973515
Agrinio,EUROPE,0.460000004,38.66667879,21.35692657,159.776314,248.0611093,77.53426976,898.159645,166.3987933,12.08913849,68.30944819,424.8139695,45.18009528,45.18009528,370.7000747,86.85802226,31.28661352,6961.060657,309.5897671,36.16033605,273.3866801,93.48970051,248.0611093
Agua Prieta,NORTH AMERICA,0.550000004,31.37127547,-109.5834725,182.0860437,266.5430218,91.08604367,319.3116507,91.45697817,7,96.17208733,192.741869,31.91395633,176.741869,48.82791267,138,41,7259.908192,346.0860437,15.08604367,331,262.5430218,219.5430218
Aguascalientes,NORTH AMERICA,1.810000014,21.9433386,-102.3342165,172.5236611,197.8616939,137.5836038,551.038946,129.2201176,7.806259689,93.00843944,328.1611679,37.26289665,235.7979258,56.62238046,119.9490784,61,2544.581905,265.9216365,70.38986345,195.2104075,192.6003648,159.1420772
Ahar,ASIA,0.200000002,38.5,47.0126398,94.82657086,204.6723793,-18.17091989,311.8369331,57.79939591,6.998327166,58.00752775,142.921394,26.30503743,26.30503743,58.65440495,103.844972,28,9071.584996,288.6715429,-72.01672834,361.5349161,113.7827691,204.6723793
Ahmadabad,ASIA,82.59250482,22.99959656,72.66738855,272.3206799,313.4792733,213.1596861,710.2990793,295.8310157,0,163.7374001,628.1299083,1.169769338,191.8033143,2.020850153,130.1912294,48.52374931,4054.377158,395.7347909,129.1224253,266.1397943,291.7768298,284.5390784
Ahmednagar,ASIA,1.500000012,19.14280564,74.71162936,246.502419,287.4820847,209.4819732,521.3257652,153.2075844,0.479103193,109.27918,308.1270913,3.874225488,120.4655372,9.658323446,125.3202173,49,3142.900017,381.4819732,128.7030985,252.3202173,241.6739704,228.4820847
Ahwaz,ASIA,2.670000021,31.35201973,48.62766498,254.4300836,377,124.7740907,227.3151615,51.17601086,0,96.80631084,129.9131551,0,0,129.5204636,149.1385117,35.97359322,10391.76474,477.2819011,62.33308567,414.4916341,138.5163792,377
Aigua,SOUTH AMERICA,0.04,-34.16680578,-54.83312425,158,211,105.0041817,1152.661283,112.0041817,73.98745492,10.01672678,319,255.9205478,300.8285505,303.0669071,72.99163661,37.99581831,4348.878731,257.9958183,65.00836339,192.9874549,182.6780095,149.1045424
Aiken,NORTH AMERICA,0.910000007,33.57791388,-81.76373779,166.4468781,253.7862548,74.56592253,1230.52961,130.4551142,67.15659503,20.06372537,371.3483114,231.4782561,371.0219415,320.086609,101,34,7313.792354,304.6664785,11.56628706,292.9366392,240.4050886,165.0199094
Aiquile,SOUTH AMERICA,0.04,-18.16680584,-65.24979098,142.9790978,163.9832782,114.9790978,559.2090222,136.0292631,0,102.9832782,353.0836089,9.008360889,254.300992,12.01254133,85.99163911,54,2056.054346,207.9790978,50.98745867,155.9916391,160.9832782,115.9832782
Aix-en-Provence,EUROPE,0.950000008,43.5762791,5.385050975,136.841724,213.6754193,62.07136574,595.3413799,77.91248932,16.0873824,35.93631376,217.1432701,78.41320588,78.41320588,153.7844635,71.22669009,28.91702227,6201.268038,267.2787643,25.23767048,241.8307436,147.841724,213.6754193
