City,Region,tif_count,Latitude,Longitude,Road Density
Aalborg,EUROPE,1.61,57.08074534,9.891304348,5622.720497
Aarhus,EUROPE,2.73,56.20909646,10.13919414,5793.135531
Aba,AFRICA,3.27,5.127930683,7.295616718,301.737003
Abadan,ASIA,0.6,30.37916667,48.2375,980.1833338
Abaetetuba,SOUTH AMERICA,0.12,-1.666666667,-48.91666667,119
Abai,SOUTH AMERICA,0.04,-26,-56,148
Abakan,ASIA,0.93,53.75,91.39605735,243.6666667
Abancay,SOUTH AMERICA,0.14,-13.58333333,-72.91666667,1374
Abau,MELANESIA,0.01,-10,148.5,437
Abaza,ASIA,0.19,52.66666667,90.05263158,171.1052632
Abbottabad,ASIA,7.595490645,34.10591133,73.04523012,1024.866128
Abeche,AFRICA,0.14,13.88095238,20.78571429,237.5714287
Abengourou,AFRICA,0.48,6.763888889,-3.536458333,1322.083333
Abeokuta,AFRICA,2.88,7.164930556,3.293113426,506.3229165
Aberdeen1,NORTH AMERICA,0.39,45.5,-98.51068376,3414.102563
Aberdeen2,NORTH AMERICA,0.52,47,-123.8733974,3994.019231
Aberdeen3,EUROPE,1.63,57.19836401,-2.181492843,5593.460122
Abha,ASIA,0.44,18.25,42.47159091,294.3863636
Abidjan,AFRICA,5.57,5.417863555,-4.061340515,2280.615799
Abilene,NORTH AMERICA,1.38,32.48007246,-99.80495169,5066.079709
Abohar,ASIA,12.50599139,30.37000886,74.29493601,1144.504703
Abomey,AFRICA,14.21624684,6.908970431,1.854721596,288.8857693
Abong Mbang,AFRICA,0.02,4,13.16666667,273
Abra Pampa,SOUTH AMERICA,0.06,-22.66666667,-65.75,443
Abu Dhabi,ASIA,1.23,24.48780488,54.36924119,5619.975609
Abu Kamal,ASIA,0.93,34.53942652,40.87365591,223.376344
Abuja,AFRICA,2.06,9.105582524,7.439724919,1643.723301
Acapulco,NORTH AMERICA,1.6,16.9265625,-99.87708333,7376.200002
Acarau,SOUTH AMERICA,0.04,-2.833333333,-40.16666667,457
Acarigua,SOUTH AMERICA,0.82,9.607723577,-69.24898374,378.4146341
Acatlan,NORTH AMERICA,0.07,18.25,-98.08333333,1698
Accra,AFRICA,7.47,5.680834449,-0.216421241,5224.945114
Achinsk,ASIA,1.02,56.29575163,90.43954248,246.5098037
Acu,SOUTH AMERICA,0.07,-5.523809524,-36.92857143,237.285714
Ad Dakhla,AFRICA,0.17,23.75,-16,314
Ad Damman,ASIA,4.04,26.43028053,50.07219472,207.2747525
Ad Diwaniyah,ASIA,0.57,32.02339181,44.88450292,1632.122807
Ad Nabk,ASIA,0.21,34.08333333,36.67460317,467.6190478
Adana,ASIA,2.45,37.0414966,35.28469388,9197.346938
Adapazari,ASIA,1.67,40.78792415,30.35429142,7408.23952
Addis Ababa,AFRICA,13.99,8.750357398,38.98820586,2538.095067
Adelaide,AUSTRALIA,9.46,-34.87041931,138.5543517,8831.21776
Aden,ASIA,0.42,12.83928571,44.98015873,509.4047619
Adi Ugri,AFRICA,3.029569378,14.91167993,38.77448093,115.6898355
Adigrat,AFRICA,0.4,14.3,39.43333333,240.9999999
Adiyaman,ASIA,1.35,37.79814815,38.22962963,3428.725925
Ado Ekiti,AFRICA,18.04388462,7.749430408,5.078419984,82.14537584
Adrar,AFRICA,0.36,27.90972222,-0.333333333,165.3333333
Afyon,ASIA,0.84,38.80257937,30.52380952,4933.190477
Agadez,AFRICA,0.39,17.01709402,7.94017094,320.3333336
Agadir,AFRICA,1.65,30.43888889,-9.589393939,195.6787879
Agana,MICRONESIA,0.7,13.52738095,144.7488095,329.8428571
Agartala,ASIA,50.02963516,24.08841631,91.14962297,1217.992468
Agboville,AFRICA,0.34,5.985294118,-4.25,445.2941176
Agen,EUROPE,0.8,44.24375,0.592708333,2519.399999
Agordat,AFRICA,0.1,15.58333333,37.83333333,263
Agra,ASIA,42.65955724,27.21342208,78.10458683,340.2429926
Agri,ASIA,0.38,39.75,42.99561404,4007.789473
Agrinio,EUROPE,0.46,38.66666667,21.35688406,2592.847827
Agua Prieta,NORTH AMERICA,0.55,31.37121212,-109.5833333,5160.818183
Aguascalientes,NORTH AMERICA,1.81,21.94337017,-102.3342541,8871.779006
Ahar,ASIA,0.2,38.5,47.0125,283.7000002
Ahmadabad,ASIA,82.59250416,22.99959385,72.66739819,938.1385611
Ahmednagar,ASIA,1.5,19.14277778,74.71166667,580.1066666
Ahwaz,ASIA,2.67,31.35205993,48.62765293,3546.299626
Aigua,SOUTH AMERICA,0.04,-34.16666667,-54.83333333,825
Aiken,NORTH AMERICA,0.91,33.57783883,-81.76373626,4909.362636
Aiquile,SOUTH AMERICA,0.04,-18.16666667,-65.25,210
Aix-en-Provence,EUROPE,0.95,43.57631579,5.385087719,3161.631579
Aizawl,ASIA,0.5,23.745,92.66666667,252.6
Ajaccio,EUROPE,0.62,41.97849462,8.711021505,2111.887097
Ajdabiya,AFRICA,0.22,30.81439394,20.16666667,3272.363635
Ajmer,ASIA,2.07,26.50201288,74.62238325,347.7777779
Aketi,AFRICA,0.17,2.759803922,23.75,293.1176471
Akhtubinsk,EUROPE,0.32,48.32291667,46.12760417,221.9374995
Akita,ASIA,1.51,39.77152318,140.0524283,760.1589399
Akola,ASIA,2.15,20.74418605,76.9496124,537.544186
Akron,NORTH AMERICA,8.487085322,41.14380069,-81.53553276,6084.305235
Aksu,ASIA,0.8,41.21041667,80.225,1337.675
Aksum,AFRICA,0.27,14.15123457,38.7037037,164.7777778
Akureyi,NORTH AMERICA,0.29,65.74425287,-18.16091954,3295.931033
Al Ahmadi,ASIA,0.18,29.14351852,48.00925926,224.7777777
Al Amarah,ASIA,0.81,31.8909465,47.10802469,1804.580247
Al Ayn,ASIA,1.94,24.23324742,55.68685567,3124.252577
Al Bayda,AFRICA,0.01,32.83333333,21.58333333,922.0000001
Al Fallujah,ASIA,0.33,33.40151515,43.75,2561.636363
Al Fujayrah,ASIA,0.37,25.14189189,56.31531532,1640.378377
Al Hasakah,ASIA,0.48,36.54861111,40.70659722,262.3333335
Al Hillah,ASIA,1.51,32.5281457,44.36644592,4092.350993
Al Hudaydah,ASIA,1.04,14.84054487,42.94871795,263.8461539
Al Hufuf,ASIA,1.21,25.43732782,49.53787879,179.7933884
Al Jaghbub,AFRICA,0.01,29.75,24.5,634
Al Jahra,ASIA,0.53,29.37106918,47.64150943,212.1509434
Al Jawf,AFRICA,0.19,24.25,23.25,2950
Al Jubayl,ASIA,0.47,27.03014184,49.59929078,138.3829787
Al Karak,ASIA,0.88,31.18371212,35.67613636,360.6818183
Al Khalil,ASIA,1.45,31.57011494,35.07241379,6835.965516
Al Kharj,ASIA,0.66,24.18560606,47.28282828,170.4545454
Al Khums,AFRICA,0.15,32.66666667,14.23888889,3061.93333
Al Kut,ASIA,0.44,32.56060606,45.77272727,1573.863637
Al Ladhiqiyah,ASIA,1.92,35.60503472,35.77951389,527.7604165
Al Marj,AFRICA,0.21,32.51587302,20.78968254,1425.761905
Al Mubarraz,ASIA,0.624640939,25.47136476,49.52730114,192.8965151
Al Mukalla,ASIA,0.32,14.5859375,49.08333333,192.5625
Al Musayyib,ASIA,0.44,32.83333333,44.25,3091
Al Qamishli,ASIA,0.30874184,37.08333333,41.1949475,5927.583769
Al Qunaytirah,ASIA,0.09,33.16666667,35.75925926,1472.111112
Al Quwayiyah,ASIA,0.17,24.09313725,45.24509804,132.5882354
Al Wajh,ASIA,0.1,26.28333333,36.41666667,200
Alagoinhas,ASIA,0.22,-12.08333333,-38.48484848,309.5454544
Alajuela,SOUTH AMERICA,1.764001031,10.03112947,-84.25932221,4497.105238
Alamogordo,SOUTH AMERICA,0.35,32.94285714,-106,3129.142859
Alapayevsk,NORTH AMERICA,0.53,57.90408805,61.65408805,256.7169809
Alatyr,ASIA,0.33,54.89393939,46.54040404,219.878788
Alayat Samail,EUROPE,0.1,23.33333333,57.91666667,231
Albacete,ASIA,0.56,39.0297619,-1.916666667,2884.357143
Albany1,EUROPE,1.78,31.62874532,-84.21254682,3677.292135
Albany2,NORTH AMERICA,4.521555382,42.75005111,-73.79705443,5734.486411
Albany3,NORTH AMERICA,0.73,44.66780822,-123.1312785,3725.821918
Albany4,NORTH AMERICA,0.26,-34.98076923,117.8333333,887.0000001
Albert Lea,AUSTRALIA,0.35,43.68333333,-93.41666667,3000.800001
Albuquerque,NORTH AMERICA,7.44,35.1780914,-106.671595,7849.518817
Albury,NORTH AMERICA,0.49,-36.0170068,146.8928571,586.306122
