City,Region,tif_count,Latitude,Longitude,wc2.1_5m_bio_18.tif,wc2.1_5m_bio_11.tif,wc2.1_5m_bio_19.tif,wc2.1_5m_bio_13.tif,wc2.1_5m_bio_10.tif,wc2.1_5m_bio_3.tif,wc2.1_5m_bio_9.tif,wc2.1_5m_bio_14.tif,wc2.1_5m_bio_2.tif,wc2.1_5m_bio_16.tif,wc2.1_5m_bio_8.tif,wc2.1_5m_bio_5.tif,wc2.1_5m_bio_6.tif,wc2.1_5m_bio_1.tif,wc2.1_5m_bio_12.tif,wc2.1_5m_bio_7.tif,wc2.1_5m_bio_17.tif,wc2.1_5m_bio_4.tif,wc2.1_5m_bio_15.tif
Aalborg,EUROPE,1.61,57.08074534,9.891304348,171.3664596,0.731802886,131.9751553,70.0310559,15.4444304,31.01764719,2.794768824,31.17391304,7.203979862,198.5279503,12.03831305,20.73582902,-2.489854819,7.743962172,616.1118012,23.2256835,104.757764,606.4562367,24.14464978
Aarhus,EUROPE,2.73,56.20909646,10.13919414,177.7619048,0.685327669,125.3846154,66.73260073,15.71001334,28.75652442,2.723469057,33.94871795,7.002005027,197.4871795,9.04252353,20.2846769,-4.0689889,7.887753511,633.959707,24.3536659,109.3882784,621.8736282,22.26084553
Aba,AFRICA,3.27,5.127930683,7.295616718,371.3302752,25.22179559,1059.006116,387.0733945,27.63317806,74.63837339,26.89638411,25.55657492,8.343761785,1059.006116,25.22179559,32.64484176,21.46637909,26.42721442,2428.342508,11.17846267,118.5504587,93.07581969,64.19803992
Abadan,ASIA,0.6,30.37916667,48.2375,0,13.73548334,96.06666666,37.33333333,35.82639656,38.8637181,35.82639656,0,14.74665793,97.06666666,15.56098657,45.15214952,7.208816735,25.32820956,164.9666667,37.94333248,0,902.7508982,98.21012332
Abaetetuba,SOUTH AMERICA,0.12,-1.666666667,-48.91666667,202,25.92950058,1217,435,26.92066574,84.02404022,26.92066574,59,7.947833538,1271,25.95966721,31.33899879,21.87999916,26.43541718,2644,9.458999634,202,40.37599182,67.37737274
Abai,SOUTH AMERICA,0.04,-26,-56,378,17.31999969,273,188,26.16133308,54.12757492,17.31999969,77,11.48099995,468,24.13750076,32.22100067,11.01000023,21.88158417,1568,21.21100044,273,366.6720886,25.55195427
Abakan,ASIA,0.93,53.75,91.39605735,186.8817204,-15.72356082,26.06451613,67.06451613,17.91228735,24.85779953,-13.20779715,5.623655914,12.20769824,186.8817204,17.91228735,26.27034415,-22.84139732,1.650247869,338.0860215,49.11174159,22.62365591,1358.529381,79.40352352
Abancay,SOUTH AMERICA,0.14,-13.58333333,-72.91666667,327,13.89750004,57,220,15.72683334,81.04560852,13.95816612,15,15.02666664,631,14.89566708,23.99799919,5.456999779,14.82183361,1167,18.54100037,57,73.40306854,80.60087585
Abau,MELANESIA,0.01,-10,148.5,562,23.86583328,474,232,26.69016647,66.52646637,25.86916733,124,7.790249825,650,25.9640007,31.61600113,19.90600014,25.46112442,2072,11.71000099,414,114.0264587,18.15141678
Abaza,ASIA,0.19,52.66666667,90.05263158,232.8421053,-15.42823646,61.73684211,86.73684211,15.29114924,25.49136593,-13.01374551,12,11.57146951,232.8421053,15.29114924,23.2517899,-22.14278904,0.358704005,523.5263158,45.39457823,45.36842105,1246.786994,56.36735856
